team,group,p_group_win,p_group_runner_up,p_group_third,p_qualify,p_r16,p_qf,p_sf,p_final,p_champion,p_runner_up,p_podium_third,exp_points,exp_gf,exp_ga
Argentina,J,0.73614,0.1948,0.05902,0.9839,0.68086,0.5315,0.38078,0.25812,0.171,0.08712,0.08728,6.99056,6.0012,1.49662
Spain,H,0.76732,0.20254,0.0262,0.9927,0.69818,0.49338,0.36974,0.25516,0.15906,0.0961,0.07724,7.32392,7.12104,1.5015
Brazil,C,0.62662,0.2767,0.0878,0.98338,0.67734,0.4642,0.29738,0.16586,0.09436,0.0715,0.08236,6.63204,6.57812,1.99196
England,L,0.6558,0.27754,0.05516,0.9801,0.68346,0.44794,0.26982,0.15286,0.08258,0.07028,0.07084,6.82544,5.94296,1.68504
France,I,0.56054,0.27616,0.13174,0.94716,0.66524,0.42104,0.2568,0.13932,0.0729,0.06642,0.06974,6.12426,5.25118,2.2413
Portugal,K,0.49308,0.3489,0.1191,0.93704,0.65778,0.40224,0.22456,0.12662,0.06502,0.0616,0.05716,5.92818,4.85068,2.22678
Colombia,K,0.42736,0.38466,0.13754,0.91858,0.618,0.35688,0.19424,0.10444,0.0506,0.05384,0.04914,5.6646,4.56332,2.33582
Germany,E,0.52924,0.3124,0.1461,0.97434,0.65976,0.34716,0.18974,0.08592,0.03704,0.04888,0.05108,6.2019,6.27922,2.25654
Belgium,G,0.60078,0.25236,0.1144,0.94952,0.63436,0.3636,0.16106,0.08166,0.03538,0.04628,0.0409,6.19382,5.13318,2.05462
Netherlands,F,0.48722,0.29278,0.15056,0.90286,0.47726,0.30646,0.16462,0.07642,0.03348,0.04294,0.04566,5.64502,4.95224,2.6933
Morocco,C,0.28646,0.45774,0.21842,0.9164,0.51296,0.30596,0.15834,0.06992,0.03058,0.03934,0.04474,5.37174,4.1517,2.18608
Ecuador,E,0.3413,0.4042,0.23004,0.93618,0.54764,0.26308,0.1293,0.05452,0.02296,0.03156,0.03516,5.55418,4.38756,2.07348
Uruguay,H,0.20896,0.59612,0.15258,0.9078,0.38676,0.21748,0.10704,0.04844,0.01972,0.02872,0.02666,5.25392,3.96094,2.3542
Japan,F,0.33538,0.34408,0.21148,0.84068,0.39806,0.225,0.10626,0.04456,0.01812,0.02644,0.02854,4.97302,4.03664,2.81076
Switzerland,B,0.54468,0.33832,0.09492,0.96362,0.60528,0.27282,0.1132,0.04428,0.01688,0.0274,0.03034,6.33832,6.04868,2.41318
Norway,I,0.25652,0.35546,0.2846,0.82618,0.45138,0.22052,0.10086,0.04006,0.01514,0.02492,0.02568,4.69336,4.0325,3.17964
Croatia,L,0.29778,0.50108,0.15424,0.9156,0.4612,0.20916,0.09578,0.03996,0.01484,0.02512,0.02372,5.42874,4.68258,2.63068
Mexico,A,0.53574,0.26414,0.1392,0.9148,0.51462,0.21308,0.07816,0.02592,0.00822,0.0177,0.01922,5.81728,5.02664,2.54774
Senegal,I,0.16462,0.2995,0.37614,0.73094,0.36004,0.15752,0.06286,0.02274,0.00718,0.01556,0.01552,4.04324,3.22886,3.28428
Austria,J,0.13948,0.39082,0.34084,0.77344,0.28746,0.13444,0.05262,0.02138,0.00678,0.0146,0.01212,4.20708,3.59338,3.35914
Turkey,D,0.29226,0.2548,0.23188,0.72552,0.36464,0.1383,0.04442,0.01532,0.00468,0.01064,0.01056,4.28894,3.91448,3.60944
Iran,G,0.22882,0.3592,0.28688,0.7975,0.39428,0.14064,0.04264,0.01472,0.00448,0.01024,0.00952,4.48906,3.43734,2.90754
