team,p_r16,p_qf,p_sf,p_final,p_champion,p_runner_up,p_podium_third
Brazil,0.80102,0.6552,0.43056,0.28434,0.1937,0.09064,0.10582
Argentina,0.9219,0.7463,0.49766,0.25708,0.15248,0.1046,0.15136
England,0.89802,0.67994,0.36804,0.21894,0.12982,0.08912,0.09664
Spain,0.73294,0.45858,0.33014,0.22334,0.12086,0.10248,0.06362
Portugal,0.70836,0.35056,0.2329,0.14312,0.06752,0.0756,0.04844
France,0.73972,0.47888,0.28966,0.14462,0.06158,0.08304,0.07298
Netherlands,0.63004,0.49378,0.28464,0.14298,0.06126,0.08172,0.07084
Colombia,0.83762,0.53558,0.26322,0.10942,0.05368,0.05574,0.08168
Belgium,0.6446,0.44504,0.19,0.1001,0.04068,0.05942,0.04402
Germany,0.76262,0.3606,0.18978,0.0776,0.02626,0.05134,0.04768
Switzerland,0.65804,0.30954,0.12228,0.04006,0.0162,0.02386,0.0374
Morocco,0.36996,0.239,0.10424,0.03864,0.01328,0.02536,0.02526
USA,0.737,0.30804,0.09336,0.03722,0.01124,0.02598,0.02002
Norway,0.63374,0.1683,0.06224,0.02256,0.00784,0.01472,0.01598
Austria,0.26706,0.10356,0.05066,0.022,0.00686,0.01514,0.01058
Senegal,0.3554,0.18916,0.05504,0.0207,0.00582,0.01488,0.01222
Mexico,0.57702,0.18144,0.04968,0.01634,0.00496,0.01138,0.01166
Japan,0.19898,0.10558,0.03812,0.01318,0.00456,0.00862,0.01036
Croatia,0.29164,0.0873,0.03988,0.01588,0.00454,0.01134,0.00894
Canada,0.66882,0.20482,0.06476,0.01686,0.00366,0.0132,0.01294
Ecuador,0.42298,0.10962,0.02782,0.0082,0.00258,0.00562,0.00664
Sweden,0.26028,0.10458,0.03918,0.01028,0.0024,0.00788,0.008
Australia,0.5349,0.12902,0.04446,0.00952,0.00232,0.0072,0.0104
Algeria,0.34196,0.11408,0.03074,0.00652,0.00164,0.00488,0.0084
Ivory Coast,0.36626,0.07092,0.01938,0.00534,0.0014,0.00394,0.00406
Egypt,0.4651,0.1001,0.03082,0.0065,0.00134,0.00516,0.00674
Paraguay,0.23738,0.05594,0.01686,0.00342,0.00074,0.00268,0.00246
Bosnia & Herzegovina,0.263,0.05776,0.00802,0.00158,0.00026,0.00132,0.001
South Africa,0.33118,0.0624,0.01088,0.00166,0.00022,0.00144,0.0015
Ghana,0.16238,0.0408,0.00718,0.00104,0.00016,0.00088,0.0012
Congo DR,0.10198,0.029,0.00416,0.00066,0.00012,0.00054,0.0007
Cape Verde Islands,0.0781,0.02458,0.00364,0.0003,2e-05,0.00028,0.00046
