team,group,p_group_win,p_group_runner_up,p_group_third,p_qualify,p_r16,p_qf,p_sf,p_final,p_champion,p_runner_up,p_podium_third,exp_points,exp_gf,exp_ga
Brazil,C,0.80846,0.1626,0.02564,0.99502,0.78204,0.61804,0.44018,0.2988,0.20348,0.09532,0.10186,7.43574,7.21714,1.26354
Spain,H,0.744,0.2119,0.03708,0.98908,0.6869,0.47388,0.34246,0.22724,0.13054,0.0967,0.07546,7.14588,6.68824,1.63514
England,L,0.72764,0.22088,0.04362,0.98736,0.7503,0.55408,0.3249,0.20184,0.11888,0.08296,0.0803,7.14982,6.60704,1.70734
Argentina,J,0.67802,0.2359,0.07706,0.98256,0.64474,0.47346,0.31014,0.17694,0.1034,0.07354,0.08856,6.83578,6.10446,1.7069
Portugal,K,0.592,0.32808,0.0667,0.97746,0.73398,0.48176,0.29006,0.15738,0.08424,0.07314,0.0819,6.5912,6.00476,1.99352
France,I,0.55682,0.27286,0.13424,0.94356,0.6871,0.42046,0.24418,0.12634,0.05722,0.06912,0.06484,6.08378,5.31944,2.3495
Netherlands,F,0.58962,0.24716,0.11606,0.93444,0.54144,0.38926,0.23438,0.11926,0.05536,0.0639,0.06178,6.09612,5.32186,2.44346
Belgium,G,0.63356,0.24256,0.09584,0.95842,0.67658,0.42154,0.19728,0.10354,0.0463,0.05724,0.04976,6.38526,5.34906,1.98212
Colombia,K,0.36862,0.4777,0.12094,0.9393,0.62512,0.34982,0.19386,0.09718,0.04344,0.05374,0.05092,5.78706,4.65968,2.20724
Germany,E,0.61798,0.25338,0.11726,0.97952,0.67038,0.33154,0.16778,0.07032,0.02598,0.04434,0.04492,6.54934,7.1452,2.564
Switzerland,B,0.54964,0.2999,0.11488,0.94684,0.62264,0.27678,0.12532,0.04666,0.01754,0.02912,0.0346,6.16826,5.80648,2.6078
Uruguay,H,0.21712,0.54356,0.18258,0.88752,0.39198,0.216,0.09934,0.03966,0.01454,0.02512,0.02602,5.09226,3.81544,2.47504
Morocco,C,0.15512,0.564,0.22054,0.87342,0.4205,0.23554,0.1084,0.04096,0.01372,0.02724,0.02726,4.85598,3.64162,2.47786
Austria,J,0.215,0.43738,0.28256,0.86888,0.36338,0.18056,0.07968,0.03154,0.01058,0.02096,0.02036,4.871,4.04834,2.8379
Norway,I,0.2421,0.34014,0.3043,0.81396,0.45886,0.1948,0.08146,0.03096,0.01006,0.0209,0.02012,4.5859,4.04774,3.37372
USA,D,0.43156,0.26896,0.18096,0.84856,0.47506,0.20778,0.07508,0.0284,0.00924,0.01916,0.01796,5.17172,4.56944,3.04306
